generation,gender,treatment,ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
GO000012-F0,NA,AHR DMSO,AHR DMSO-NA-Arena 7-1,252.724,184.554,226.437,197.824,239.928,199.434,210.825,216.588,225.794,211.073,186.454,171.806,304.104,341.781,283.41,250.482,282.665,243.85,281.732,229.912,212.135,229.025,186.612,226.419,147.901,165.001,207.413,200.082,141.14,183.856,150.347,163.308,155.58,235.573,172.552,164.578,52.359
GO000012-F0,NA,AHR DMSO,AHR DMSO-NA-Arena 7-2,308.519,265.985,233.428,266.057,263.176,275.572,182.105,241.203,229.068,236.9,250.708,201.733,239.123,221.016,252.308,266.107,258.619,215.539,221.839,204.558,194.52,215.962,183.123,217.566,245.287,249.543,145.459,181.904,243.291,317.27,239.149,205.075,186.118,138.943,217.249,210.006,44.407
GO000012-F0,NA,AHR DMSO,AHR DMSO-NA-Arena 8-1,183.229,150.394,194.295,159.783,291.249,422.14,354.242,277.549,155.003,133.474,137.176,154.888,170.259,142.228,173.81,135.998,393.132,186.462,113.164,110.129,128.735,124.81,135.956,117.448,113.353,132.516,115.642,134.876,133.816,147.865,126.441,99.221,119.245,127.827,120.417,122.197,25.59
GO000012-F0,NA,AHR DMSO,AHR DMSO-NA-Arena 8-2,291.988,309.089,280.484,220.904,278.836,273.89,307.124,250.494,315.093,268.559,276.663,285.501,307.186,211.956,279.064,275.811,305.041,299.802,349.538,351.296,350.827,330.5,346.058,378.826,352.64,400.65,341.651,401.181,373.715,254.202,327.991,349.989,405.953,289.42,190.676,269.555,46.128
GO000012-F0,NA,AHR DMSO,AHR DMSO-NA-Arena 9-1,179.316,167.729,174.056,168.725,170.729,180.481,143.422,144.888,157.948,160.296,136.289,138.02,178.724,201.169,196.615,144.507,174.685,103.974,141.123,127.065,127.067,132.922,148.105,133.937,178.89,142.228,196.64,187.316,186.662,186.36,177.103,179.961,180.781,193.875,170.13,240.288,54.763
GO000012-F0,NA,AHR DMSO,AHR DMSO-NA-Arena 9-2,344.24,276.238,361.094,296.363,265.319,313.901,297.918,407.227,274.563,350.808,320.157,256.218,287.503,247.073,265.893,355.541,289.756,254.883,290.975,378.285,420.659,278.413,266.42,292.906,260.42,256.272,290.466,303.374,222.785,251.651,263.133,304.603,281.917,281.718,230.662,262.273,63.694
GO000012-F0,NA,COMO 5uM BaP,COMO 5uM BaP-NA-Arena 10-1,253.689,257.17,263.986,228.554,220.886,188.215,215.218,230.772,211.209,212.669,204.553,224.53,205.817,178.128,228.429,229.038,247.822,193.921,159.598,200.343,186.815,176.169,147.861,145.169,178.154,165.604,186.066,154.933,164.252,161.476,154.818,159.035,161.146,159.322,183.854,173.462,153.572
GO000012-F0,NA,COMO 5uM BaP,COMO 5uM BaP-NA-Arena 10-2,306.859,277.997,364.376,305.807,334.198,328.064,230.512,236.537,247.205,237.485,276.475,234.521,216.277,223.496,295.211,284.449,219.566,220.694,239.539,206.988,214.108,204.998,205.535,217.418,228.837,229.375,193.833,206.143,198.288,198.437,213.197,203.31,197.186,223.986,188.513,195.618,58.632
GO000012-F0,NA,COMO 5uM BaP,COMO 5uM BaP-NA-Arena 10-NA,174.011,171.325,181.797,178.439,190.375,167.853,158.383,180.51,180.881,170.016,199.207,177.405,205.681,192.477,172.948,161.306,163.119,171.917,165.763,194.139,176.378,172.534,155.559,127.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO000012-F0,NA,COMO 5uM BaP,COMO 5uM BaP-NA-Arena 11-1,312.257,351.846,309.876,318.405,332.293,289.376,341.95,327.785,328.649,289.727,289.698,305.371,315.832,284.765,320.728,292.498,285.037,267.88,319.891,323.001,267.204,258.489,273.139,270.65,330.228,237.764,246.363,224.57,217.586,244.404,305.68,249.476,279.563,227.27,244,221.614,266.967
GO000012-F0,NA,COMO 5uM BaP,COMO 5uM BaP-NA-Arena 11-2,260.127,240.211,237.316,300.441,295.333,317.206,316.54,271.517,296.641,256.141,240.879,322.231,308.348,306.411,301.896,335.31,322.767,311.179,242.521,276.705,249.011,252.165,287.399,320.619,258.159,264.818,240.827,223.242,211.743,237.103,246.79,220.364,237.165,277.262,284.237,194.088,54.607
