generation,gender,treatment,ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 5-18,381.862,459.551,438.477,442.95,460.54,382.445,401.822,351.467,336.247,363.887,418.405,300.787,370.607,368.501,427.459,419.29,422.021,295.885,404.139,437.627,376.931,400.694,405.203,360.891,390.164,395.327,387.87,348.48,389.508,431.281
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 5-2,332.638,387.805,405.437,352.296,367.225,392.637,369.098,403.536,351.925,403.049,375.444,358.55,335.849,374.933,333.685,325.234,364.567,361.51,336.753,407.709,410.418,279.96,385.39,367.685,332.3,445.877,407.881,332.581,318.221,307.461
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 5-34,0,0,0,0,0,0,0,0,0,0,0,0,0,127.964,226.97,11.795,8.249,11.175,214.844,160.549,188.799,204.084,163.252,199.548,6.951,0,0,166.219,180.726,194.018
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 13-21,256.589,222.688,222.436,217.788,209.115,140.547,10.962,185.362,183.475,206.243,220.976,209.064,227.093,209.46,225.538,232.616,216.59,231.54,202.149,264.327,204.609,203.825,212.43,204.199,235.804,224.802,240.404,211.191,225.844,214.673
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 13-37,278.949,209.55,269.293,230.362,217.085,220.423,2.154,29.461,47.461,49.999,0,0,70.371,254.891,195.164,0,219.196,3.104,0,0,0,0,0,233.743,224.802,260.756,12.292,13.381,24.027,239.771
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 13-5,330.072,332.939,289.728,275.421,285.072,285.333,273.575,240.484,302.546,259.642,320.646,338.611,323.729,311.961,266.95,286.333,269.253,276.524,283.575,257.205,254.441,286.496,278.505,279.178,304.313,373.119,402.929,340.494,323.473,332.85
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 14-22,409.423,376.186,356.151,365.082,412.549,464.501,391.267,288.856,349.953,349.485,396.165,267.458,296.384,447.407,404.969,350.794,412.652,330.241,353.565,306.917,375.289,403.176,351.136,316.62,351.053,304.02,342.011,344.988,428.416,438.797
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 14-38,232.994,203.806,217.176,182.491,198.724,215.366,172.291,143.517,156.02,185.04,141.071,159.749,151.856,199.757,206.263,175.15,188.94,194.519,162.564,161.549,225.522,174.141,191.682,188.734,191.3,233.429,167.598,199.715,168.428,264.334
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 14-6,0,0,219.489,225.94,152.861,273.252,223.276,202.594,153.364,168.675,194.88,236.696,266.652,260.921,272.507,262.361,205.422,253.779,150.406,189.733,15.995,0,0,0,0,0,0,151.786,181.89,197.91
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 2-5,314.175,380.65,363.285,390.873,262.279,267.515,352.52,322.706,279.322,269.392,350.995,394.074,395.468,398.727,334.88,399.339,278.496,263.309,332.723,312.579,314.997,340.263,298.817,408.151,439.25,421.49,298.26,352.335,268.167,400.421
