"SampleID"	"SampleIDExtra"	"Treatments"	"Generation"	"Sex"	"Morpholino"	"Exposure"	"FishNumber"	"Tissue"	"RunID"	"Length_mm"	"Weight_g"
"92"	"BaP_0963"	"BaP_0963_63"	"AHR2Mo_DMSO"	"F2"	"F"	"AHR2Mo"	"DMSO"	97	"Fecal"	"s387"	42	1.7
"93"	"BaP_0964"	"BaP_0964_64"	"AHR2Mo_DMSO"	"F2"	"M"	"AHR2Mo"	"DMSO"	98	"Fecal"	"s388"	35	0.814
"94"	"BaP_0965"	"BaP_0965_65"	"AHR2Mo_DMSO"	"F2"	"F"	"AHR2Mo"	"DMSO"	99	"Fecal"	"s389"	40	1.526
"95"	"BaP_0966"	"BaP_0966_66"	"AHR2Mo_DMSO"	"F2"	"M"	"AHR2Mo"	"DMSO"	100	"Fecal"	"s390"	32	0.665
"96"	"BaP_0967"	"BaP_0967_67"	"AHR2Mo_DMSO"	"F2"	"F"	"AHR2Mo"	"DMSO"	101	"Fecal"	"s391"	39	1.572
"97"	"BaP_0968"	"BaP_0968_68"	"AHR2Mo_DMSO"	"F2"	"M"	"AHR2Mo"	"DMSO"	102	"Fecal"	"s392"	35.5	0.697
"98"	"BaP_1033"	"BaP_1033_97"	"AHR2Mo_DMSO"	"F2"	"F"	"AHR2Mo"	"DMSO"	103	"Fecal"	"s393"	36	0.951
"99"	"BaP_1034"	"BaP_1034_98"	"AHR2Mo_DMSO"	"F2"	"M"	"AHR2Mo"	"DMSO"	104	"Fecal"	"s394"	34	0.747
"100"	"BaP_1035"	"BaP_1035_99"	"AHR2Mo_DMSO"	"F2"	"F"	"AHR2Mo"	"DMSO"	105	"Fecal"	"s395"	38	1.126
"101"	"BaP_1036"	"BaP_1036_100"	"AHR2Mo_DMSO"	"F2"	"M"	"AHR2Mo"	"DMSO"	106	"Fecal"	"s396"	34.5	0.758
"102"	"BaP_1037"	"BaP_1037_101"	"AHR2Mo_DMSO"	"F2"	"F"	"AHR2Mo"	"DMSO"	107	"Fecal"	"s397"	35	1.134
"103"	"BaP_1038"	"BaP_1038_102"	"AHR2Mo_DMSO"	"F2"	"M"	"AHR2Mo"	"DMSO"	108	"Fecal"	"s398"	34	0.806
"104"	"BaP_1039"	"BaP_1039_103"	"AHR2Mo_BaP"	"F2"	"F"	"AHR2Mo"	"BaP"	109	"Fecal"	"s399"	36.5	1.052
"105"	"BaP_1040"	"BaP_1040_104"	"AHR2Mo_BaP"	"F2"	"M"	"AHR2Mo"	"BaP"	110	"Fecal"	"s400"	34	0.834
"106"	"BaP_1105"	"BaP_1105_133"	"AHR2Mo_BaP"	"F2"	"F"	"AHR2Mo"	"BaP"	111	"Fecal"	"s401"	38.5	1.408
"107"	"BaP_1106"	"BaP_1106_134"	"AHR2Mo_BaP"	"F2"	"M"	"AHR2Mo"	"BaP"	112	"Fecal"	"s402"	36	0.78
"108"	"BaP_1107"	"BaP_1107_135"	"AHR2Mo_BaP"	"F2"	"F"	"AHR2Mo"	"BaP"	113	"Fecal"	"s403"	34.5	0.662
"109"	"BaP_1108"	"BaP_1108_136"	"AHR2Mo_BaP"	"F2"	"M"	"AHR2Mo"	"BaP"	114	"Fecal"	"s404"	35	0.654
"110"	"BaP_1109"	"BaP_1109_137"	"AHR2Mo_BaP"	"F2"	"F"	"AHR2Mo"	"BaP"	115	"Fecal"	"s405"	36.5	1.297
"111"	"BaP_1110"	"BaP_1110_138"	"AHR2Mo_BaP"	"F2"	"M"	"AHR2Mo"	"BaP"	116	"Fecal"	"s406"	35	0.743
"112"	"BaP_1111"	"BaP_1111_139"	"AHR2Mo_BaP"	"F2"	"F"	"AHR2Mo"	"BaP"	117	"Fecal"	"s407"	40	1.522
"113"	"BaP_1112"	"BaP_1112_140"	"AHR2Mo_BaP"	"F2"	"M"	"AHR2Mo"	"BaP"	118	"Fecal"	"s408"	33.5	0.738
"114"	"BaP_0969"	"BaP_0969_69"	"AHR2Mo_BaP"	"F2"	"F"	"AHR2Mo"	"BaP"	119	"Fecal"	"s409"	38.5	1.022
"115"	"BaP_0970"	"BaP_0970_70"	"AHR2Mo_BaP"	"F2"	"M"	"AHR2Mo"	"BaP"	120	"Fecal"	"s410"	35	0.75
"116"	"BaP_0971"	"BaP_0971_71"	"AHR2Mo_BaP"	"F2"	"F"	"AHR2Mo"	"BaP"	121	"Fecal"	"s411"	38.5	1.314
"117"	"BaP_0972"	"BaP_0972_72"	"AHR2Mo_BaP"	"F2"	"M"	"AHR2Mo"	"BaP"	122	"Fecal"	"s412"	35	0.732
"118"	"BaP_1041"	"BaP_1041_105"	"AHR2Mo_BaP"	"F2"	"F"	"AHR2Mo"	"BaP"	123	"Fecal"	"s413"	37	1.094
"119"	"BaP_1042"	"BaP_1042_106"	"AHR2Mo_BaP"	"F2"	"M"	"AHR2Mo"	"BaP"	124	"Fecal"	"s414"	30	0.62
"120"	"BaP_1043"	"BaP_1043_107"	"AHR2Mo_BaP"	"F2"	"F"	"AHR2Mo"	"BaP"	125	"Fecal"	"s415"	38	1.311
"121"	"BaP_1044"	"BaP_1044_108"	"AHR2Mo_BaP"	"F2"	"M"	"AHR2Mo"	"BaP"	126	"Fecal"	"s416"	36.5	0.814
"122"	"BaP_1113"	"BaP_1113_141"	"AHR2Mo_BaP"	"F2"	"F"	"AHR2Mo"	"BaP"	127	"Fecal"	"s417"	39.5	1.253
"123"	"BaP_1114"	"BaP_1114_142"	"AHR2Mo_BaP"	"F2"	"M"	"AHR2Mo"	"BaP"	128	"Fecal"	"s418"	37	0.906
"124"	"BaP_1115"	"BaP_1115_143"	"AHR2Mo_BaP"	"F2"	"F"	"AHR2Mo"	"BaP"	129	"Fecal"	"s419"	36.5	1.071
"125"	"BaP_1116"	"BaP_1116_144"	"AHR2Mo_BaP"	"F2"	"M"	"AHR2Mo"	"BaP"	130	"Fecal"	"s420"	38	0.941
"126"	"BaP_0865"	"BaP_0865_1"	"AHR2Mo_BaP"	"F2"	"F"	"AHR2Mo"	"BaP"	131	"Fecal"	"s421"	35.5	0.859
"127"	"BaP_1017"	"BaP_1017_81"	"AHR2Mo_BaP"	"F2"	"M"	"AHR2Mo"	"BaP"	132	"Fecal"	"s422"	35	0.868
"128"	"BaP_0866"	"BaP_0866_2"	"AHR2Mo_BaP"	"F2"	"F"	"AHR2Mo"	"BaP"	133	"Fecal"	"s423"	39	0.97
"129"	"BaP_1018"	"BaP_1018_82"	"AHR2Mo_BaP"	"F2"	"M"	"AHR2Mo"	"BaP"	134	"Fecal"	"s427"	36	0.698
"130"	"BaP_0002"	"BaP_0002"	"AHR2Mo_BaP"	"F2"	"F"	"AHR2Mo"	"BaP"	135	"Fecal"	"s428"	38	0.926
"131"	"BaP_0650"	"BaP_0650"	"AHR2Mo_BaP"	"F2"	"M"	"AHR2Mo"	"BaP"	136	"Fecal"	"s429"	37	0.764
"132"	"BaP_0442"	"BaP_0442"	"AHR2Mo_BaP"	"F2"	"F"	"AHR2Mo"	"BaP"	137	"Fecal"	"s430"	40	1.135
"133"	"BaP_0090"	"BaP_0090"	"AHR2Mo_BaP"	"F2"	"M"	"AHR2Mo"	"BaP"	138	"Fecal"	"s431"	36	0.737
"134"	"BaP_0098"	"BaP_0098"	"AHR2Mo_BaP"	"F2"	"F"	"AHR2Mo"	"BaP"	139	"Fecal"	"s432"	38.5	1.226
"135"	"BaP_0142"	"BaP_0142"	"AHR2Mo_BaP"	"F2"	"M"	"AHR2Mo"	"BaP"	140	"Fecal"	"s433"	34	0.774
"136"	"BaP_0001"	"BaP_0001"	"AHR2Mo_BaP"	"F2"	"F"	"AHR2Mo"	"BaP"	141	"Fecal"	"s434"	37.5	1.075
"137"	"BaP_0649"	"BaP_0649"	"AHR2Mo_BaP"	"F2"	"M"	"AHR2Mo"	"BaP"	142	"Fecal"	"s435"	33.5	0.754
"138"	"BaP_0441"	"BaP_0441"	"AHR2Mo_BaP"	"F2"	"F"	"AHR2Mo"	"BaP"	143	"Fecal"	"s436"	38	1.212
"139"	"BaP_0089"	"BaP_0089"	"AHR2Mo_BaP"	"F2"	"M"	"AHR2Mo"	"BaP"	144	"Fecal"	"s437"	34.5	0.654
