"SampleID"	"SampleIDExtra"	"Treatments"	"Generation"	"Sex"	"Morpholino"	"Exposure"	"FishNumber"	"Tissue"	"RunID"	"Length_mm"	"Weight_g"
"95"	"BaP_0005"	"BaP_0005"	"AHR2Mo_DMSO"	"F0"	"F"	"AHR2Mo"	"DMSO"	95	"Fecal"	"s099"	35	1.31
"96"	"BaP_0006"	"BaP_0006"	"AHR2Mo_DMSO"	"F0"	"M"	"AHR2Mo"	"DMSO"	96	"Fecal"	"s100"	31	0.85
"97"	"BaP_0007"	"BaP_0007"	"AHR2Mo_DMSO"	"F0"	"F"	"AHR2Mo"	"DMSO"	97	"Fecal"	"s101"	35	1.1
"98"	"BaP_0008"	"BaP_0008"	"AHR2Mo_DMSO"	"F0"	"M"	"AHR2Mo"	"DMSO"	98	"Fecal"	"s102"	34	0.83
"99"	"BaP_0037"	"BaP_0037"	"AHR2Mo_DMSO"	"F0"	"F"	"AHR2Mo"	"DMSO"	99	"Fecal"	"s103"	31	0.74
"100"	"BaP_0038"	"BaP_0038"	"AHR2Mo_DMSO"	"F0"	"M"	"AHR2Mo"	"DMSO"	100	"Fecal"	"s104"	35	0.74
"101"	"BaP_0039"	"BaP_0039"	"AHR2Mo_DMSO"	"F0"	"F"	"AHR2Mo"	"DMSO"	101	"Fecal"	"s105"	34	1.13
"102"	"BaP_0040"	"BaP_0040"	"AHR2Mo_DMSO"	"F0"	"F"	"AHR2Mo"	"DMSO"	102	"Fecal"	"s106"	34	0.78
"103"	"BaP_0041"	"BaP_0041"	"AHR2Mo_DMSO"	"F0"	"F"	"AHR2Mo"	"DMSO"	103	"Fecal"	"s107"	40	1.59
"104"	"BaP_0042"	"BaP_0042"	"AHR2Mo_DMSO"	"F0"	"M"	"AHR2Mo"	"DMSO"	104	"Fecal"	"s108"	34	0.67
"105"	"BaP_0043"	"BaP_0043"	"AHR2Mo_DMSO"	"F0"	"F"	"AHR2Mo"	"DMSO"	105	"Fecal"	"s109"	35	1.09
"106"	"BaP_0044"	"BaP_0044"	"AHR2Mo_DMSO"	"F0"	"M"	"AHR2Mo"	"DMSO"	106	"Fecal"	"s110"	36	0.9
"107"	"BaP_0073"	"BaP_0073"	"AHR2Mo_DMSO"	"F0"	"F"	"AHR2Mo"	"DMSO"	107	"Fecal"	"s111"	34	0.79
"108"	"BaP_0074"	"BaP_0074"	"AHR2Mo_DMSO"	"F0"	"M"	"AHR2Mo"	"DMSO"	108	"Fecal"	"s112"	29	0.47
"109"	"BaP_0075"	"BaP_0075"	"AHR2Mo_BaP"	"F0"	"F"	"AHR2Mo"	"BaP"	109	"Fecal"	"s113"	37	1.29
"110"	"BaP_0076"	"BaP_0076"	"AHR2Mo_BaP"	"F0"	"M"	"AHR2Mo"	"BaP"	110	"Fecal"	"s114"	32	0.69
"111"	"BaP_0077"	"BaP_0077"	"AHR2Mo_BaP"	"F0"	"F"	"AHR2Mo"	"BaP"	111	"Fecal"	"s115"	31	1.13
