generation,treatment,ID,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28
F1,CoMo_DMSO,COMO DMSO-Arena 1-0752020-225,3.877,3.589,4.272,4.302,4.432,4.774,4.647,5.071,4.36,4.258,3.851,3.434,3.897,3.797,4.799,4.249,4.935,5.229,4.716,5.425,4.211,5.109,4.961,5.623,5.47,5.444,6.029,5.04,5.871
F1,CoMo_DMSO,COMO DMSO-Arena 2-07062020-540,2.801,3.522,2.61,3.214,3.245,3.718,2.819,2.562,3.248,3.641,4.306,4.033,2.833,4.106,2.563,4.286,3.782,3.678,2.834,3.309,3.335,3.891,3.561,3.976,4.261,3.74,3.972,3.471,2.758
F1,CoMo_DMSO,COMO DMSO-Arena 2-0752020-225,4.034,4.884,4.595,4.644,4.484,4.479,4.603,4.594,4.877,5.191,5.566,5.822,5.197,5.106,5.488,4.453,4.982,4.42,4.72,4.776,4.342,5.051,5.185,4.942,5.4,5.089,5.405,5.401,5.314
F1,CoMo_DMSO,COMO DMSO-Arena 3-0752020-528,3.842,4.013,4.238,3.617,4.32,3.58,4.067,4.059,4.108,3.868,4.651,4.125,4.422,4.156,4.128,4.424,4.19,3.825,4.587,4.642,4.525,4.239,3.997,4.681,4.939,4.439,4.106,3.688,NA
F1,CoMo_DMSO,COMO DMSO-Arena 3-0752020-1227,4.55,3.886,4.918,4.891,4.65,4.392,4.972,4.571,3.599,4.759,4.799,4.976,5.047,5.418,5.584,5.027,5.385,5.185,6.024,5.221,4.648,4.885,5.161,5.451,5.477,5.557,4.497,4.92,4.277
F1,CoMo_DMSO,COMO DMSO-Arena 4-0752020-528,3.985,3.526,3.591,4.481,4.455,4.024,3.621,3.456,3.737,3.987,3.907,3.982,3.748,3.236,3.768,3.616,3.523,4.217,4.208,4.153,4.044,2.886,3.409,3.821,4.024,3.601,3.732,3.928,NA
F1,CoMo_DMSO,COMO DMSO-Arena 4-0752020-124,5.092,4.931,4.679,3.838,5.31,4.624,4.591,4.814,6.03,5.238,4.884,4.641,5.411,5.602,5.373,6.034,5.831,4.547,4.548,4.945,5.149,4.785,5.5,5.155,5.176,4.735,5.04,5.514,4.866
F1,CoMo_DMSO,COMO DMSO-Arena 6-0752020-1134,4.005,4.059,4.18,4.505,4.251,4.469,4.268,4.233,3.903,4.417,4.201,4.378,4.364,4.138,4.178,4.054,4.208,4.148,4.277,4.918,3.812,4.558,4.403,4.259,4.357,4.332,3.846,3.581,3.942
F1,CoMo_DMSO,COMO DMSO-Arena 7-0752020-1227,3.937,4.61,4.759,5.13,4.452,4.501,4.658,5,4.176,5.162,4.568,4.287,4.975,4.911,5.104,4.378,4.536,4.655,4.775,4.265,4.811,4.814,5.011,4.158,3.993,5.095,4.479,4.435,5.111
F1,CoMo_DMSO,COMO DMSO-Arena 8-0752020-124,3.923,4.628,4.456,3.279,4.626,4.567,4.484,4.417,4.946,4.594,4.57,4.825,4.917,4.472,3.882,4.792,4.687,4.819,4.922,4.629,4.672,4.918,5.099,4.95,4.826,4.952,5.413,4.857,5.86
